Operating_System	Sessions	New_Sessions	New_Users	Bounce_Rate	PagesPerSession	AvgSessionDuration	Month
SymbianOS	14	100%	14	100%	1	0:00:00	3/1/2016 0:00
Playstation Vita	25	100%	25	76%	1.28	0:00:04	4/1/2016 0:00
BlackBerry	516	62.98%	325	71.71%	1.54	0:00:41	4/1/2016 0:00
Series40	13	100%	13	100%	1	0:00:00	4/1/2016 0:00
Windows Phone	5824	48.90%	2848	64.32%	1.98	0:01:35	4/1/2016 0:00
SymbianOS	25	100%	25	52%	2.56	0:01:07	4/1/2016 0:00
(not set)	306	81.05%	248	79.08%	1.62	0:01:07	4/1/2016 0:00
Samsung	19	100%	19	100%	1	0:00:00	4/1/2016 0:00
Windows	22167	36.79%	8156	48.29%	5.06	0:05:13	4/1/2016 0:00
Nokia	19	68.42%	13	68.42%	1.32	0:01:05	4/1/2016 0:00
Android	177378	45.49%	80696	57.33%	3.74	0:05:04	4/1/2016 0:00
SymbianOS	13	100%	13	53.85%	1.54	0:00:14	7/1/2016 0:00
Android	214077	47.17%	100978	59.40%	3.65	0:04:45	7/1/2016 0:00
BlackBerry	692	61.85%	428	74.28%	1.63	0:01:14	7/1/2016 0:00
Windows	18562	38.64%	7173	48.12%	4.56	0:04:14	7/1/2016 0:00
Samsung	53	100%	53	49.06%	1.87	0:00:21	7/1/2016 0:00
LG	7	100%	7	100%	1	0:00:00	7/1/2016 0:00
Windows Phone	5691	48.37%	2753	65.74%	1.85	0:01:21	7/1/2016 0:00
(not set)	270	85.56%	231	85.56%	1.22	0:01:29	7/1/2016 0:00
Nokia	7	100%	7	100%	1	0:00:00	7/1/2016 0:00
Samsung	20	100%	20	100%	1	0:00:00	8/1/2016 0:00
Playstation Vita	14	50%	7	50%	3.86	0:01:45	8/1/2016 0:00
(not set)	419	87.11%	365	74.22%	1.37	0:01:09	8/1/2016 0:00
Windows	18990	38.62%	7334	47.08%	4.2	0:03:46	8/1/2016 0:00
Nintendo 3DS	7	100%	7	100%	1	0:00:00	8/1/2016 0:00
BlackBerry	520	76.54%	398	68.85%	1.68	0:01:06	8/1/2016 0:00
SymbianOS	20	100%	20	100%	1	0:00:00	8/1/2016 0:00
LG	20	70%	14	35%	1.7	0:01:56	8/1/2016 0:00
Windows Phone	5267	41.41%	2181	63.20%	2.26	0:01:42	8/1/2016 0:00
Android	214448	46.30%	99279	59.80%	3.82	0:05:00	8/1/2016 0:00
